Condition	Block	TrialInBlock	Target	Competitor_1	Competitor_2	Competitor_chosen	RTinSec	Session_number	
CY	6	30	2	5	6	1	2.102	1	
CY	6	31	3	1	2	2	0.901	1	
CY	6	32	3	1	3	2	1.564	1	
CY	6	33	3	1	4	2	1.213	1	
CY	6	34	3	1	5	1	1.015	1	
CY	6	35	3	1	6	1	1.518	1	
CY	6	36	3	2	3	2	0.959	1	
CY	6	37	3	2	4	1	0.831	1	
CY	6	38	3	2	5	1	1.164	1	
CY	6	39	3	2	6	1	0.965	1	
CY	6	40	3	3	4	1	1.215	1	
CY	6	41	3	3	5	1	1.381	1	
CY	6	42	3	3	6	1	0.949	1	
CY	6	43	3	4	5	1	1.781	1	
CY	6	44	3	4	6	1	1.421	1	
CY	6	45	3	5	6	1	4.023	1	
CY	6	46	4	1	2	2	1.133	1	
CY	6	47	4	1	3	2	1.062	1	
CY	6	48	4	1	4	2	0.998	1	
CY	6	49	4	1	5	2	1.198	1	
CY	6	50	4	1	6	2	1.109	1	
CY	6	51	4	2	3	1	1.612	1	
CY	6	52	4	2	4	1	1.446	1	
CY	6	53	4	2	5	1	10.135	1	
CY	6	54	4	2	6	2	1.191	1	
CY	6	55	4	3	4	1	1.216	1	
CY	6	56	4	3	5	1	2.022	1	
CY	6	57	4	3	6	1	1.429	1	
CY	6	58	4	4	5	1	1.759	1	
CY	6	59	4	4	6	1	1.197	1	
CY	6	60	4	5	6	1	1.765	1	
CB	6	61	1	1	2	2	1.309	1	
CB	6	62	1	1	3	2	0.782	1	
CB	6	63	1	1	4	2	1.438	1	
CB	6	64	1	1	5	1	1.037	1	
CB	6	65	1	1	6	2	1.853	1	
CB	6	66	1	2	3	2	1.775	1	
CB	6	67	1	2	4	2	0.797	1	
CB	6	68	1	2	5	2	1.837	1	
CB	6	69	1	2	6	1	1.918	1	
CB	6	70	1	3	4	2	1.117	1	
CB	6	71	1	3	5	1	1.642	1	
CB	6	72	1	3	6	1	1.798	1	
CB	6	73	1	4	5	1	1.262	1	
CB	6	74	1	4	6	1	1.469	1	
CB	6	75	1	5	6	1	1.862	1	
CB	6	76	2	1	2	2	1.502	1	
CB	6	77	2	1	3	2	0.911	1	
CB	6	78	2	1	4	2	2.135	1	
CB	6	79	2	1	5	2	1.047	1	
CB	6	80	2	1	6	1	0.805	1	
CB	6	81	2	2	3	2	1.311	1	
CB	6	82	2	2	4	2	0.991	1	
CB	6	83	2	2	5	2	1.262	1	
CB	6	84	2	2	6	1	1.556	1	
CB	6	85	2	3	4	2	1.012	1	
CB	6	86	2	3	5	1	1.895	1	
CB	6	87	2	3	6	1	2.039	1	
CB	6	88	2	4	5	1	1.438	1	
CB	6	89	2	4	6	1	1.484	1	
CB	6	90	2	5	6	1	1.175	1	
CB	6	91	3	1	2	1	1.052	1	
CB	6	92	3	1	3	2	1.319	1	
CB	6	93	3	1	4	2	1.262	1	
CB	6	94	3	1	5	2	1.593	1	
CB	6	95	3	1	6	2	0.943	1	
CB	6	96	3	2	3	2	1.061	1	
CB	6	97	3	2	4	2	2.733	1	
CB	6	98	3	2	5	1	2.752	1	
CB	6	99	3	2	6	2	1.046	1	
CB	6	100	3	3	4	2	1.219	1	
CB	6	101	3	3	5	1	0.868	1	
CB	6	102	3	3	6	1	1.055	1	
CB	6	103	3	4	5	2	0.958	1	
CB	6	104	3	4	6	1	1.334	1	
CB	6	105	3	5	6	2	1.549	1	
CB	6	106	4	1	2	2	1.606	1	
CB	6	107	4	1	3	2	1.838	1	
CB	6	108	4	1	4	1	1.735	1	
CB	6	109	4	1	5	2	0.756	1	
CB	6	110	4	1	6	2	1.253	1	
CB	6	111	4	2	3	2	1.263	1	
CB	6	112	4	2	4	2	0.959	1	
CB	6	113	4	2	5	2	1.157	1	
CB	6	114	4	2	6	1	2.045	1	
CB	6	115	4	3	4	2	0.975	1	
CB	6	116	4	3	5	2	1.342	1	
CB	6	117	4	3	6	1	1.198	1	
CB	6	118	4	4	5	1	1.934	1	
CB	6	119	4	4	6	1	1.038	1	
CB	6	120	4	5	6	1	1.391	1	
CY	7	1	1	1	2	2	1.092	1	
CY	7	2	1	1	3	2	1.016	1	
CY	7	3	1	1	4	2	1.021	1	
CY	7	4	1	1	5	1	3.238	1	
CY	7	5	1	1	6	1	0.965	1	
CY	7	6	1	2	3	2	1.790	1	
CY	7	7	1	2	4	2	1.024	1	
CY	7	8	1	2	5	1	0.967	1	
CY	7	9	1	2	6	1	0.939	1	
CY	7	10	1	3	4	1	1.319	1	
CY	7	11	1	3	5	1	0.807	1	
CY	7	12	1	3	6	1	1.024	1	
CY	7	13	1	4	5	1	1.933	1	
CY	7	14	1	4	6	1	0.959	1	
CY	7	15	1	5	6	1	1.317	1	
CY	7	16	2	1	2	2	1.253	1	
CY	7	17	2	1	3	2	2.879	1	
CY	7	18	2	1	4	2	1.062	1	
CY	7	19	2	1	5	2	1.342	1	
CY	7	20	2	1	6	1	2.909	1	
CY	7	21	2	2	3	2	1.165	1	
CY	7	22	2	2	4	2	1.143	1	
CY	7	23	2	2	5	1	0.797	1	
CY	7	24	2	2	6	2	1.247	1	
CY	7	25	2	3	4	1	1.141	1	
CY	7	26	2	3	5	2	1.740	1	
CY	7	27	2	3	6	1	1.142	1	
CY	7	28	2	4	5	1	2.856	1	
CY	7	29	2	4	6	1	1.102	1	
CY	7	30	2	5	6	1	1.558	1	
CY	7	31	3	1	2	2	1.404	1	
CY	7	32	3	1	3	2	1.478	1	
CY	7	33	3	1	4	2	1.144	1	
CY	7	34	3	1	5	1	1.080	1	
CY	7	35	3	1	6	1	0.736	1	
CY	7	36	3	2	3	2	1.391	1	
CY	7	37	3	2	4	2	1.167	1	
CY	7	38	3	2	5	1	1.205	1	
CY	7	39	3	2	6	2	1.367	1	
CY	7	40	3	3	4	2	1.768	1	
CY	7	41	3	3	5	2	0.767	1	
CY	7	42	3	3	6	1	0.798	1	
CY	7	43	3	4	5	1	1.056	1	
CY	7	44	3	4	6	1	0.959	1	
CY	7	45	3	5	6	1	2.118	1	
CY	7	46	4	1	2	2	1.638	1	
CY	7	47	4	1	3	2	1.214	1	
CY	7	48	4	1	4	1	1.320	1	
CY	7	49	4	1	5	2	1.086	1	
CY	7	50	4	1	6	2	2.584	1	
CY	7	51	4	2	3	1	1.639	1	
CY	7	52	4	2	4	1	1.367	1	
CY	7	53	4	2	5	2	0.775	1	
CY	7	54	4	2	6	1	1.141	1	
CY	7	55	4	3	4	2	0.863	1	
CY	7	56	4	3	5	1	1.236	1	
CY	7	57	4	3	6	1	1.312	1	
CY	7	58	4	4	5	1	2.430	1	
CY	7	59	4	4	6	1	1.416	1	
CY	7	60	4	5	6	1	1.414	1	
CB	7	61	1	1	2	2	1.662	1	
CB	7	62	1	1	3	2	0.902	1	
CB	7	63	1	1	4	2	1.240	1	
CB	7	64	1	1	5	2	1.389	1	
CB	7	65	1	1	6	2	1.047	1	
CB	7	66	1	2	3	2	1.300	1	
CB	7	67	1	2	4	2	0.759	1	
CB	7	68	1	2	5	2	0.960	1	
CB	7	69	1	2	6	1	1.392	1	
CB	7	70	1	3	4	2	1.831	1	
CB	7	71	1	3	5	1	1.303	1	
CB	7	72	1	3	6	2	1.583	1	
CB	7	73	1	4	5	2	1.405	1	
CB	7	74	1	4	6	1	4.038	1	
CB	7	75	1	5	6	1	1.269	1	
CB	7	76	2	1	2	2	1.204	1	
CB	7	77	2	1	3	2	0.783	1	
CB	7	78	2	1	4	2	0.924	1	
CB	7	79	2	1	5	1	1.775	1	
CB	7	80	2	1	6	1	0.758	1	
CB	7	81	2	2	3	2	1.576	1	
CB	7	82	2	2	4	1	2.620	1	
CB	7	83	2	2	5	1	1.437	1	
CB	7	84	2	2	6	1	2.454	1	
CB	7	85	2	3	4	2	1.406	1	
CB	7	86	2	3	5	2	1.228	1	
CB	7	87	2	3	6	1	1.096	1	
CB	7	88	2	4	5	1	1.496	1	
CB	7	89	2	4	6	1	1.116	1	
CB	7	90	2	5	6	1	1.831	1	
CB	7	91	3	1	2	2	1.568	1	
CB	7	92	3	1	3	1	1.398	1	
CB	7	93	3	1	4	2	1.119	1	
CB	7	94	3	1	5	2	1.024	1	
CB	7	95	3	1	6	2	1.086	1	
CB	7	96	3	2	3	2	1.927	1	
CB	7	97	3	2	4	1	1.687	1	
CB	7	98	3	2	5	2	1.368	1	
CB	7	99	3	2	6	1	1.029	1	
CB	7	100	3	3	4	2	1.414	1	
CB	7	101	3	3	5	1	2.960	1	
CB	7	102	3	3	6	1	1.357	1	
CB	7	103	3	4	5	1	1.760	1	
CB	7	104	3	4	6	1	2.613	1	
CB	7	105	3	5	6	1	0.982	1	
CB	7	106	4	1	2	2	1.000	1	
CB	7	107	4	1	3	2	0.790	1	
CB	7	108	4	1	4	2	1.030	1	
CB	7	109	4	1	5	2	0.814	1	
CB	7	110	4	1	6	1	1.655	1	
CB	7	111	4	2	3	1	0.965	1	
CB	7	112	4	2	4	2	0.903	1	
CB	7	113	4	2	5	1	1.551	1	
CB	7	114	4	2	6	2	0.807	1	
CB	7	115	4	3	4	2	1.072	1	
CB	7	116	4	3	5	1	1.420	1	
CB	7	117	4	3	6	1	0.943	1	
CB	7	118	4	4	5	2	1.997	1	
CB	7	119	4	4	6	1	0.965	1	
CB	7	120	4	5	6	1	0.963	1	
CY	8	1	1	1	2	2	1.175	2	
CY	8	2	1	1	3	2	0.890	2	
CY	8	3	1	1	4	1	1.068	2	
CY	8	4	1	1	5	1	2.677	2	
CY	8	5	1	1	6	1	1.527	2	
CY	8	6	1	2	3	2	1.557	2	
CY	8	7	1	2	4	2	2.338	2	
CY	8	8	1	2	5	1	0.890	2	
CY	8	9	1	2	6	1	0.877	2	
CY	8	10	1	3	4	2	1.310	2	
CY	8	11	1	3	5	1	3.068	2	
CY	8	12	1	3	6	1	1.218	2	
CY	8	13	1	4	5	2	1.623	2	
CY	8	14	1	4	6	1	1.263	2	
CY	8	15	1	5	6	1	0.910	2	
CY	8	16	2	1	2	1	1.860	2	
CY	8	17	2	1	3	2	1.286	2	
CY	8	18	2	1	4	2	0.860	2	
CY	8	19	2	1	5	1	1.998	2	
CY	8	20	2	1	6	2	1.934	2	
CY	8	21	2	2	3	2	0.855	2	
CY	8	22	2	2	4	2	0.988	2	
CY	8	23	2	2	5	2	1.393	2	
CY	8	24	2	2	6	1	1.377	2	
CY	8	25	2	3	4	2	0.892	2	
CY	8	26	2	3	5	2	1.362	2	
CY	8	27	2	3	6	1	1.043	2	
CY	8	28	2	4	5	1	1.078	2	
CY	8	29	2	4	6	1	0.842	2	
CY	8	30	2	5	6	2	2.440	2	
CY	8	31	3	1	2	2	2.778	2	
CY	8	32	3	1	3	2	0.814	2	
CY	8	33	3	1	4	2	0.863	2	
CY	8	34	3	1	5	1	1.642	2	
CY	8	35	3	1	6	1	1.745	2	
CY	8	36	3	2	3	2	1.410	2	
CY	8	37	3	2	4	2	1.356	2	
CY	8	38	3	2	5	2	1.077	2	
CY	8	39	3	2	6	1	1.218	2	
CY	8	40	3	3	4	1	1.317	2	
CY	8	41	3	3	5	2	0.656	2	
CY	8	42	3	3	6	1	1.226	2	
CY	8	43	3	4	5	1	0.799	2	
CY	8	44	3	4	6	1	0.849	2	
CY	8	45	3	5	6	1	1.528	2	
CY	8	46	4	1	2	1	1.317	2	
CY	8	47	4	1	3	2	1.168	2	
CY	8	48	4	1	4	2	1.556	2	
CY	8	49	4	1	5	1	2.184	2	
CY	8	50	4	1	6	2	2.035	2	
CY	8	51	4	2	3	2	1.065	2	
CY	8	52	4	2	4	2	2.025	2	
CY	8	53	4	2	5	1	1.288	2	
CY	8	54	4	2	6	2	0.800	2	
CY	8	55	4	3	4	2	1.009	2	
CY	8	56	4	3	5	1	3.862	2	
CY	8	57	4	3	6	1	1.084	2	
CY	8	58	4	4	5	1	1.167	2	
CY	8	59	4	4	6	1	1.499	2	
CY	8	60	4	5	6	1	1.525	2	
CB	8	61	1	1	2	2	1.421	2	
CB	8	62	1	1	3	2	1.306	2	
CB	8	63	1	1	4	2	1.226	2	
CB	8	64	1	1	5	2	0.995	2	
CB	8	65	1	1	6	2	1.229	2	
CB	8	66	1	2	3	2	1.392	2	
CB	8	67	1	2	4	2	1.624	2	
CB	8	68	1	2	5	2	1.587	2	
CB	8	69	1	2	6	1	0.997	2	
CB	8	70	1	3	4	2	1.589	2	
CB	8	71	1	3	5	2	1.461	2	
CB	8	72	1	3	6	2	1.444	2	
CB	8	73	1	4	5	2	1.385	2	
CB	8	74	1	4	6	1	2.481	2	
CB	8	75	1	5	6	1	1.114	2	
CB	8	76	2	1	2	2	1.490	2	
CB	8	77	2	1	3	2	0.862	2	
CB	8	78	2	1	4	2	1.178	2	
CB	8	79	2	1	5	2	1.512	2	
CB	8	80	2	1	6	2	1.285	2	
CB	8	81	2	2	3	2	1.725	2	
CB	8	82	2	2	4	2	0.815	2	
CB	8	83	2	2	5	1	0.965	2	
CB	8	84	2	2	6	1	1.301	2	
CB	8	85	2	3	4	2	0.950	2	
CB	8	86	2	3	5	1	1.186	2	
CB	8	87	2	3	6	1	1.313	2	
CB	8	88	2	4	5	1	1.794	2	
CB	8	89	2	4	6	1	1.048	2	
CB	8	90	2	5	6	1	1.575	2	
CB	8	91	3	1	2	2	1.605	2	
CB	8	92	3	1	3	1	0.923	2	
CB	8	93	3	1	4	2	1.384	2	
CB	8	94	3	1	5	2	0.720	2	
CB	8	95	3	1	6	2	1.279	2	
CB	8	96	3	2	3	2	0.784	2	
CB	8	97	3	2	4	2	0.756	2	
CB	8	98	3	2	5	1	0.989	2	
CB	8	99	3	2	6	1	0.909	2	
CB	8	100	3	3	4	1	1.003	2	
CB	8	101	3	3	5	1	1.035	2	
CB	8	102	3	3	6	1	0.971	2	
CB	8	103	3	4	5	1	1.271	2	
CB	8	104	3	4	6	1	1.557	2	
CB	8	105	3	5	6	1	0.871	2	
CB	8	106	4	1	2	2	1.816	2	
CB	8	107	4	1	3	2	0.920	2	
CB	8	108	4	1	4	2	1.195	2	
CB	8	109	4	1	5	2	0.958	2	
CB	8	110	4	1	6	1	2.026	2	
CB	8	111	4	2	3	2	1.000	2	
CB	8	112	4	2	4	2	1.010	2	
CB	8	113	4	2	5	2	1.342	2	
CB	8	114	4	2	6	1	2.160	2	
CB	8	115	4	3	4	2	0.830	2	
CB	8	116	4	3	5	2	14.564	2	
CB	8	117	4	3	6	1	1.342	2	
CB	8	118	4	4	5	1	1.517	2	
CB	8	119	4	4	6	1	1.021	2	
CB	8	120	4	5	6	1	1.439	2	
CY	9	1	1	1	2	2	1.129	2	
CY	9	2	1	1	3	2	1.015	2	
CY	9	3	1	1	4	2	0.927	2	
CY	9	4	1	1	5	2	0.950	2	
CY	9	5	1	1	6	1	1.087	2	
CY	9	6	1	2	3	2	1.352	2	
CY	9	7	1	2	4	2	1.491	2	
CY	9	8	1	2	5	1	0.968	2	
CY	9	9	1	2	6	1	2.239	2	
CY	9	10	1	3	4	1	0.943	2	
CY	9	11	1	3	5	2	1.055	2	
CY	9	12	1	3	6	1	1.271	2	
CY	9	13	1	4	5	1	2.400	2	
CY	9	14	1	4	6	1	0.887	2	
CY	9	15	1	5	6	1	0.865	2	
CY	9	16	2	1	2	2	0.858	2	
CY	9	17	2	1	3	2	1.232	2	
CY	9	18	2	1	4	2	0.879	2	
CY	9	19	2	1	5	2	1.520	2	
CY	9	20	2	1	6	2	0.911	2	
CY	9	21	2	2	3	2	0.680	2	
CY	9	22	2	2	4	2	0.841	2	
CY	9	23	2	2	5	2	1.183	2	
CY	9	24	2	2	6	2	2.240	2	
CY	9	25	2	3	4	1	0.902	2	
CY	9	26	2	3	5	2	1.224	2	
CY	9	27	2	3	6	1	0.921	2	
CY	9	28	2	4	5	1	0.897	2	
CY	9	29	2	4	6	1	1.456	2	
CY	9	30	2	5	6	1	2.039	2	
CY	9	31	3	1	2	2	1.544	2	
CY	9	32	3	1	3	2	0.897	2	
CY	9	33	3	1	4	1	1.143	2	
CY	9	34	3	1	5	1	0.824	2	
CY	9	35	3	1	6	1	1.912	2	
CY	9	36	3	2	3	2	1.039	2	
CY	9	37	3	2	4	1	2.865	2	
CY	9	38	3	2	5	1	1.160	2	
CY	9	39	3	2	6	1	1.026	2	
CY	9	40	3	3	4	1	2.225	2	
CY	9	41	3	3	5	2	0.959	2	
CY	9	42	3	3	6	1	1.313	2	
CY	9	43	3	4	5	1	1.128	2	
CY	9	44	3	4	6	1	0.776	2	
CY	9	45	3	5	6	1	1.865	2	
CY	9	46	4	1	2	2	1.767	2	
CY	9	47	4	1	3	2	1.039	2	
CY	9	48	4	1	4	2	2.265	2	
CY	9	49	4	1	5	2	1.072	2	
CY	9	50	4	1	6	2	1.110	2	
CY	9	51	4	2	3	1	1.559	2	
CY	9	52	4	2	4	2	1.256	2	
CY	9	53	4	2	5	1	1.782	2	
CY	9	54	4	2	6	2	0.711	2	
CY	9	55	4	3	4	2	0.800	2	
CY	9	56	4	3	5	2	1.192	2	
CY	9	57	4	3	6	2	0.807	2	
CY	9	58	4	4	5	1	1.321	2	
CY	9	59	4	4	6	1	1.546	2	
CY	9	60	4	5	6	1	1.145	2	
CB	9	61	1	1	2	2	1.903	2	
CB	9	62	1	1	3	2	0.754	2	
CB	9	63	1	1	4	2	1.263	2	
CB	9	64	1	1	5	2	1.345	2	
CB	9	65	1	1	6	1	1.121	2	
CB	9	66	1	2	3	2	1.607	2	
CB	9	67	1	2	4	2	0.912	2	
CB	9	68	1	2	5	2	1.167	2	
CB	9	69	1	2	6	2	1.064	2	
CB	9	70	1	3	4	2	1.151	2	
CB	9	71	1	3	5	2	0.951	2	
CB	9	72	1	3	6	2	1.207	2	
CB	9	73	1	4	5	2	1.137	2	
CB	9	74	1	4	6	2	1.488	2	
CB	9	75	1	5	6	1	1.231	2	
CB	9	76	2	1	2	1	1.016	2	
CB	9	77	2	1	3	2	0.801	2	
CB	9	78	2	1	4	2	0.807	2	
CB	9	79	2	1	5	2	1.185	2	
CB	9	80	2	1	6	1	2.175	2	
CB	9	81	2	2	3	2	1.431	2	
CB	9	82	2	2	4	2	0.976	2	
CB	9	83	2	2	5	1	0.770	2	
CB	9	84	2	2	6	2	0.919	2	
CB	9	85	2	3	4	2	2.393	2	
CB	9	86	2	3	5	2	0.944	2	
CB	9	87	2	3	6	1	1.096	2	
CB	9	88	2	4	5	1	0.968	2	
CB	9	89	2	4	6	1	1.248	2	
CB	9	90	2	5	6	1	2.047	2	
CB	9	91	3	1	2	1	1.831	2	
CB	9	92	3	1	3	2	1.255	2	
CB	9	93	3	1	4	2	1.328	2	
CB	9	94	3	1	5	2	0.831	2	
CB	9	95	3	1	6	2	0.967	2	
CB	9	96	3	2	3	2	1.761	2	
CB	9	97	3	2	4	1	2.376	2	
CB	9	98	3	2	5	2	1.424	2	
CB	9	99	3	2	6	2	0.927	2	
CB	9	100	3	3	4	2	1.775	2	
CB	9	101	3	3	5	1	2.071	2	
CB	9	102	3	3	6	1	1.113	2	
CB	9	103	3	4	5	1	0.992	2	
CB	9	104	3	4	6	1	1.687	2	
CB	9	105	3	5	6	2	1.969	2	
CB	9	106	4	1	2	2	1.567	2	
CB	9	107	4	1	3	2	0.889	2	
CB	9	108	4	1	4	2	2.321	2	
CB	9	109	4	1	5	2	1.136	2	
CB	9	110	4	1	6	2	0.688	2	
CB	9	111	4	2	3	1	0.712	2	
CB	9	112	4	2	4	2	0.848	2	
CB	9	113	4	2	5	1	0.936	2	
CB	9	114	4	2	6	1	1.120	2	
CB	9	115	4	3	4	2	1.480	2	
CB	9	116	4	3	5	2	0.816	2	
CB	9	117	4	3	6	1	0.880	2	
CB	9	118	4	4	5	2	0.842	2	
CB	9	119	4	4	6	1	1.025	2	
CB	9	120	4	5	6	1	2.023	2	
CY	10	1	1	1	2	2	1.305	2	
CY	10	2	1	1	3	2	0.888	2	
CY	10	3	1	1	4	2	1.369	2	
CY	10	4	1	1	5	1	4.777	2	
CY	10	5	1	1	6	1	1.448	2	
CY	10	6	1	2	3	2	1.050	2	
CY	10	7	1	2	4	2	1.274	2	
CY	10	8	1	2	5	1	2.223	2	
CY	10	9	1	2	6	1	1.538	2	
CY	10	10	1	3	4	1	2.426	2	
CY	10	11	1	3	5	1	1.353	2	
CY	10	12	1	3	6	1	1.281	2	
CY	10	13	1	4	5	1	2.529	2	
CY	10	14	1	4	6	1	1.326	2	
CY	10	15	1	5	6	1	1.098	2	
CY	10	16	2	1	2	2	1.706	2	
CY	10	17	2	1	3	1	2.288	2	
CY	10	18	2	1	4	2	1.136	2	
CY	10	19	2	1	5	2	1.969	2	
CY	10	20	2	1	6	2	1.529	2	
CY	10	21	2	2	3	2	0.786	2	
CY	10	22	2	2	4	2	0.967	2	
CY	10	23	2	2	5	2	1.655	2	
CY	10	24	2	2	6	2	0.906	2	
CY	10	25	2	3	4	2	1.162	2	
CY	10	26	2	3	5	1	2.185	2	
CY	10	27	2	3	6	2	1.113	2	
CY	10	28	2	4	5	1	1.275	2	
CY	10	29	2	4	6	1	1.135	2	
CY	10	30	2	5	6	1	2.714	2	
CY	10	31	3	1	2	2	2.370	2	
CY	10	32	3	1	3	2	1.010	2	
CY	10	33	3	1	4	1	2.466	2	
CY	10	34	3	1	5	1	1.017	2	
CY	10	35	3	1	6	1	1.591	2	
CY	10	36	3	2	3	2	1.041	2	
CY	10	37	3	2	4	1	1.922	2	
CY	10	38	3	2	5	2	1.242	2	
CY	10	39	3	2	6	1	1.187	2	
CY	10	40	3	3	4	1	1.865	2	
CY	10	41	3	3	5	2	1.041	2	
CY	10	42	3	3	6	1	1.329	2	
CY	10	43	3	4	5	1	1.706	2	
CY	10	44	3	4	6	1	1.816	2	
CY	10	45	3	5	6	1	2.377	2	
CY	10	46	4	1	2	2	2.703	2	
CY	10	47	4	1	3	2	0.978	2	
CY	10	48	4	1	4	2	1.170	2	
CY	10	49	4	1	5	2	1.474	2	
CY	10	50	4	1	6	2	1.146	2	
CY	10	51	4	2	3	1	1.480	2	
CY	10	52	4	2	4	1	2.562	2	
CY	10	53	4	2	5	2	1.959	2	
CY	10	54	4	2	6	1	2.321	2	
CY	10	55	4	3	4	2	1.024	2	
CY	10	56	4	3	5	2	2.249	2	
CY	10	57	4	3	6	1	1.382	2	
CY	10	58	4	4	5	1	1.761	2	
CY	10	59	4	4	6	1	1.279	2	
CY	10	60	4	5	6	1	1.810	2	
CB	10	61	1	1	2	2	1.413	2	
CB	10	62	1	1	3	2	0.746	2	
CB	10	63	1	1	4	2	1.113	2	
CB	10	64	1	1	5	2	1.233	2	
CB	10	65	1	1	6	2	1.128	2	
CB	10	66	1	2	3	2	1.431	2	
CB	10	67	1	2	4	2	1.745	2	
CB	10	68	1	2	5	2	1.145	2	
CB	10	69	1	2	6	2	1.481	2	
CB	10	70	1	3	4	2	1.608	2	
CB	10	71	1	3	5	2	0.953	2	
CB	10	72	1	3	6	2	1.196	2	
CB	10	73	1	4	5	2	0.835	2	
CB	10	74	1	4	6	2	1.894	2	
CB	10	75	1	5	6	1	1.136	2	
CB	10	76	2	1	2	1	0.917	2	
CB	10	77	2	1	3	2	0.899	2	
CB	10	78	2	1	4	2	0.873	2	
CB	10	79	2	1	5	2	1.194	2	
CB	10	80	2	1	6	1	1.103	2	
CB	10	81	2	2	3	1	1.672	2	
CB	10	82	2	2	4	2	1.242	2	
CB	10	83	2	2	5	1	2.578	2	
CB	10	84	2	2	6	1	2.368	2	
CB	10	85	2	3	4	2	1.145	2	
CB	10	86	2	3	5	1	1.924	2	
CB	10	87	2	3	6	1	1.802	2	
CB	10	88	2	4	5	1	1.474	2	
CB	10	89	2	4	6	1	2.417	2	
CB	10	90	2	5	6	1	2.370	2	
CB	10	91	3	1	2	2	2.570	2	
CB	10	92	3	1	3	2	1.217	2	
CB	10	93	3	1	4	2	1.161	2	
CB	10	94	3	1	5	2	3.048	2	
CB	10	95	3	1	6	1	1.222	2	
CB	10	96	3	2	3	2	1.544	2	
CB	10	97	3	2	4	2	1.026	2	
CB	10	98	3	2	5	2	1.209	2	
CB	10	99	3	2	6	1	0.902	2	
CB	10	100	3	3	4	2	1.182	2	
CB	10	101	3	3	5	1	1.151	2	
CB	10	102	3	3	6	1	0.987	2	
CB	10	103	3	4	5	2	1.010	2	
CB	10	104	3	4	6	1	2.635	2	
CB	10	105	3	5	6	1	1.577	2	
CB	10	106	4	1	2	2	1.672	2	
CB	10	107	4	1	3	2	2.767	2	
CB	10	108	4	1	4	2	1.153	2	
CB	10	109	4	1	5	2	1.378	2	
CB	10	110	4	1	6	2	0.772	2	
CB	10	111	4	2	3	1	1.553	2	
CB	10	112	4	2	4	2	1.128	2	
CB	10	113	4	2	5	1	1.195	2	
CB	10	114	4	2	6	2	1.723	2	
CB	10	115	4	3	4	2	1.065	2	
CB	10	116	4	3	5	1	1.351	2	
CB	10	117	4	3	6	1	1.305	2	
CB	10	118	4	4	5	1	1.370	2	
CB	10	119	4	4	6	1	1.375	2	
CB	10	120	4	5	6	1	1.841	2	
CY	11	1	1	1	2	2	1.348	2	
CY	11	2	1	1	3	2	1.418	2	
CY	11	3	1	1	4	2	1.243	2	
CY	11	4	1	1	5	1	1.649	2	
CY	11	5	1	1	6	1	1.178	2	
CY	11	6	1	2	3	2	0.875	2	
CY	11	7	1	2	4	2	1.123	2	
CY	11	8	1	2	5	2	0.986	2	
CY	11	9	1	2	6	1	1.188	2	
CY	11	10	1	3	4	2	1.451	2	
CY	11	11	1	3	5	2	1.099	2	
CY	11	12	1	3	6	1	1.690	2	
CY	11	13	1	4	5	2	1.212	2	
CY	11	14	1	4	6	1	1.484	2	
CY	11	15	1	5	6	1	0.984	2	
CY	11	16	2	1	2	2	2.043	2	
CY	11	17	2	1	3	2	1.419	2	
CY	11	18	2	1	4	2	1.042	2	
CY	11	19	2	1	5	2	1.211	2	
CY	11	20	2	1	6	2	1.090	2	
CY	11	21	2	2	3	2	1.010	2	
CY	11	22	2	2	4	2	0.835	2	
CY	11	23	2	2	5	2	1.531	2	
CY	11	24	2	2	6	2	1.700	2	
CY	11	25	2	3	4	2	1.058	2	
CY	11	26	2	3	5	2	1.731	2	
CY	11	27	2	3	6	1	1.185	2	
CY	11	28	2	4	5	1	0.979	2	
CY	11	29	2	4	6	1	1.163	2	
CY	11	30	2	5	6	1	1.380	2	
CY	11	31	3	1	2	2	0.851	2	
CY	11	32	3	1	3	2	1.339	2	
CY	11	33	3	1	4	2	1.098	2	
CY	11	34	3	1	5	1	0.851	2	
CY	11	35	3	1	6	1	2.227	2	
CY	11	36	3	2	3	1	2.267	2	
CY	11	37	3	2	4	2	0.962	2	
CY	11	38	3	2	5	1	1.483	2	
CY	11	39	3	2	6	1	1.506	2	
CY	11	40	3	3	4	1	1.700	2	
CY	11	41	3	3	5	2	2.580	2	
CY	11	42	3	3	6	1	0.691	2	
CY	11	43	3	4	5	1	0.828	2	
CY	11	44	3	4	6	1	1.012	2	
CY	11	45	3	5	6	1	3.090	2	
CY	11	46	4	1	2	2	1.298	2	
CY	11	47	4	1	3	2	0.921	2	
CY	11	48	4	1	4	2	1.155	2	
CY	11	49	4	1	5	2	1.396	2	
CY	11	50	4	1	6	2	1.081	2	
CY	11	51	4	2	3	1	1.264	2	
CY	11	52	4	2	4	2	1.571	2	
CY	11	53	4	2	5	1	1.706	2	
CY	11	54	4	2	6	2	3.379	2	
CY	11	55	4	3	4	2	1.515	2	
CY	11	56	4	3	5	2	0.914	2	
CY	11	57	4	3	6	1	1.284	2	
CY	11	58	4	4	5	2	1.219	2	
CY	11	59	4	4	6	1	0.995	2	
CY	11	60	4	5	6	1	2.236	2	
CB	11	61	1	1	2	2	1.331	2	
CB	11	62	1	1	3	2	0.963	2	
