Condition	Block	TrialInBlock	Target	Competitor_1	Competitor_2	Competitor_chosen	RTinSec	Session_number	
CY	2	5	1	1	6	1	2.779	1	
CY	2	6	1	2	3	2	1.859	1	
CY	2	7	1	2	4	1	0.788	1	
CY	2	8	1	2	5	1	2.075	1	
CY	2	9	1	2	6	1	1.651	1	
CY	2	10	1	3	4	1	1.515	1	
CY	2	11	1	3	5	1	0.755	1	
CY	2	12	1	3	6	1	1.051	1	
CY	2	13	1	4	5	1	1.643	1	
CY	2	14	1	4	6	1	0.739	1	
CY	2	15	1	5	6	1	1.539	1	
CY	2	16	2	1	2	1	1.316	1	
CY	2	17	2	1	3	1	1.475	1	
CY	2	18	2	1	4	2	1.042	1	
CY	2	19	2	1	5	1	1.371	1	
CY	2	20	2	1	6	1	2.482	1	
CY	2	21	2	2	3	2	0.827	1	
CY	2	22	2	2	4	2	0.995	1	
CY	2	23	2	2	5	2	2.148	1	
CY	2	24	2	2	6	1	1.475	1	
CY	2	25	2	3	4	1	1.092	1	
CY	2	26	2	3	5	1	1.146	1	
CY	2	27	2	3	6	1	1.876	1	
CY	2	28	2	4	5	1	1.371	1	
CY	2	29	2	4	6	1	1.116	1	
CY	2	30	2	5	6	1	1.578	1	
CY	2	31	3	1	2	2	1.899	1	
CY	2	32	3	1	3	1	1.875	1	
CY	2	33	3	1	4	1	1.724	1	
CY	2	34	3	1	5	1	0.907	1	
CY	2	35	3	1	6	1	0.979	1	
CY	2	36	3	2	3	2	1.012	1	
CY	2	37	3	2	4	1	1.836	1	
CY	2	38	3	2	5	1	1.028	1	
CY	2	39	3	2	6	1	2.209	1	
CY	2	40	3	3	4	1	1.539	1	
CY	2	41	3	3	5	2	0.684	1	
CY	2	42	3	3	6	1	0.869	1	
CY	2	43	3	4	5	1	0.720	1	
CY	2	44	3	4	6	1	1.380	1	
CY	2	45	3	5	6	1	1.857	1	
CY	2	46	4	1	2	2	2.339	1	
CY	2	47	4	1	3	2	1.171	1	
CY	2	48	4	1	4	2	0.930	1	
CY	2	49	4	1	5	2	0.955	1	
CY	2	50	4	1	6	2	1.091	1	
CY	2	51	4	2	3	2	1.500	1	
CY	2	52	4	2	4	2	1.107	1	
CY	2	53	4	2	5	1	1.211	1	
CY	2	54	4	2	6	1	0.923	1	
CY	2	55	4	3	4	1	1.429	1	
CY	2	56	4	3	5	2	1.027	1	
CY	2	57	4	3	6	1	1.452	1	
CY	2	58	4	4	5	1	2.449	1	
CY	2	59	4	4	6	1	0.804	1	
CY	2	60	4	5	6	1	2.227	1	
CB	2	61	1	1	2	2	1.579	1	
CB	2	62	1	1	3	2	1.273	1	
CB	2	63	1	1	4	2	1.314	1	
CB	2	64	1	1	5	2	1.395	1	
CB	2	65	1	1	6	2	1.412	1	
CB	2	66	1	2	3	2	1.617	1	
CB	2	67	1	2	4	2	1.289	1	
CB	2	68	1	2	5	2	0.963	1	
CB	2	69	1	2	6	1	1.316	1	
CB	2	70	1	3	4	2	1.340	1	
CB	2	71	1	3	5	1	1.139	1	
CB	2	72	1	3	6	2	1.467	1	
CB	2	73	1	4	5	1	1.764	1	
CB	2	74	1	4	6	1	1.259	1	
CB	2	75	1	5	6	2	1.835	1	
CB	2	76	2	1	2	2	1.892	1	
CB	2	77	2	1	3	2	0.834	1	
CB	2	78	2	1	4	2	0.764	1	
CB	2	79	2	1	5	2	0.940	1	
CB	2	80	2	1	6	1	2.499	1	
CB	2	81	2	2	3	2	4.171	1	
CB	2	82	2	2	4	2	0.980	1	
CB	2	83	2	2	5	1	0.988	1	
CB	2	84	2	2	6	2	0.827	1	
CB	2	85	2	3	4	2	1.011	1	
CB	2	86	2	3	5	1	1.268	1	
CB	2	87	2	3	6	1	1.860	1	
CB	2	88	2	4	5	1	0.987	1	
CB	2	89	2	4	6	1	0.995	1	
CB	2	90	2	5	6	1	1.435	1	
CB	2	91	3	1	2	1	1.620	1	
CB	2	92	3	1	3	1	1.443	1	
CB	2	93	3	1	4	2	1.963	1	
CB	2	94	3	1	5	2	0.755	1	
CB	2	95	3	1	6	2	1.029	1	
CB	2	96	3	2	3	2	0.835	1	
CB	2	97	3	2	4	2	0.907	1	
CB	2	98	3	2	5	2	1.548	1	
CB	2	99	3	2	6	1	1.963	1	
CB	2	100	3	3	4	1	1.555	1	
CB	2	101	3	3	5	2	1.787	1	
CB	2	102	3	3	6	1	1.227	1	
CB	2	103	3	4	5	1	0.971	1	
CB	2	104	3	4	6	1	1.739	1	
CB	2	105	3	5	6	2	2.059	1	
CB	2	106	4	1	2	2	1.730	1	
CB	2	107	4	1	3	2	0.852	1	
CB	2	108	4	1	4	2	1.475	1	
CB	2	109	4	1	5	2	0.907	1	
CB	2	110	4	1	6	1	1.483	1	
CB	2	111	4	2	3	2	1.772	1	
CB	2	112	4	2	4	2	1.059	1	
CB	2	113	4	2	5	2	0.835	1	
CB	2	114	4	2	6	2	1.003	1	
CB	2	115	4	3	4	2	0.827	1	
CB	2	116	4	3	5	2	0.995	1	
CB	2	117	4	3	6	1	1.852	1	
CB	2	118	4	4	5	2	1.587	1	
CB	2	119	4	4	6	1	1.051	1	
CB	2	120	4	5	6	1	2.571	1	
CY	3	1	1	1	2	2	1.073	1	
CY	3	2	1	1	3	2	0.745	1	
CY	3	3	1	1	4	2	0.978	1	
CY	3	4	1	1	5	1	2.481	1	
CY	3	5	1	1	6	1	1.162	1	
CY	3	6	1	2	3	2	1.394	1	
CY	3	7	1	2	4	2	1.018	1	
CY	3	8	1	2	5	1	1.706	1	
CY	3	9	1	2	6	1	1.010	1	
CY	3	10	1	3	4	1	1.738	1	
CY	3	11	1	3	5	1	0.850	1	
CY	3	12	1	3	6	1	0.906	1	
CY	3	13	1	4	5	1	1.755	1	
CY	3	14	1	4	6	1	0.785	1	
CY	3	15	1	5	6	1	1.162	1	
CY	3	16	2	1	2	2	2.297	1	
CY	3	17	2	1	3	2	1.258	1	
CY	3	18	2	1	4	2	0.994	1	
CY	3	19	2	1	5	2	1.673	1	
CY	3	20	2	1	6	2	0.801	1	
CY	3	21	2	2	3	1	1.385	1	
CY	3	22	2	2	4	2	0.906	1	
CY	3	23	2	2	5	2	1.217	1	
CY	3	24	2	2	6	1	0.960	1	
CY	3	25	2	3	4	2	1.066	1	
CY	3	26	2	3	5	2	2.138	1	
CY	3	27	2	3	6	1	1.499	1	
CY	3	28	2	4	5	1	0.995	1	
CY	3	29	2	4	6	1	1.439	1	
CY	3	30	2	5	6	1	2.402	1	
CY	3	31	3	1	2	2	2.155	1	
CY	3	32	3	1	3	2	0.833	1	
CY	3	33	3	1	4	1	1.945	1	
CY	3	34	3	1	5	1	0.689	1	
CY	3	35	3	1	6	1	1.922	1	
CY	3	36	3	2	3	2	0.787	1	
CY	3	37	3	2	4	1	1.128	1	
CY	3	38	3	2	5	1	0.986	1	
CY	3	39	3	2	6	1	0.867	1	
CY	3	40	3	3	4	2	2.323	1	
CY	3	41	3	3	5	2	0.778	1	
CY	3	42	3	3	6	1	0.713	1	
CY	3	43	3	4	5	1	1.354	1	
CY	3	44	3	4	6	1	0.962	1	
CY	3	45	3	5	6	1	1.273	1	
CY	3	46	4	1	2	2	1.466	1	
CY	3	47	4	1	3	2	1.426	1	
CY	3	48	4	1	4	2	0.978	1	
CY	3	49	4	1	5	2	1.074	1	
CY	3	50	4	1	6	2	0.994	1	
CY	3	51	4	2	3	1	1.722	1	
CY	3	52	4	2	4	1	1.898	1	
CY	3	53	4	2	5	1	1.015	1	
CY	3	54	4	2	6	2	0.922	1	
CY	3	55	4	3	4	1	1.538	1	
CY	3	56	4	3	5	2	1.129	1	
CY	3	57	4	3	6	1	1.002	1	
CY	3	58	4	4	5	2	1.770	1	
CY	3	59	4	4	6	1	0.875	1	
CY	3	60	4	5	6	1	1.545	1	
CB	3	61	1	1	2	2	1.433	1	
CB	3	62	1	1	3	2	1.089	1	
CB	3	63	1	1	4	2	1.129	1	
CB	3	64	1	1	5	2	1.017	1	
CB	3	65	1	1	6	2	1.033	1	
CB	3	66	1	2	3	2	1.618	1	
CB	3	67	1	2	4	2	0.794	1	
CB	3	68	1	2	5	2	0.842	1	
CB	3	69	1	2	6	2	1.273	1	
CB	3	70	1	3	4	2	1.810	1	
CB	3	71	1	3	5	2	0.824	1	
CB	3	72	1	3	6	2	1.033	1	
CB	3	73	1	4	5	2	1.746	1	
CB	3	74	1	4	6	1	2.194	1	
CB	3	75	1	5	6	1	2.123	1	
CB	3	76	2	1	2	1	1.002	1	
CB	3	77	2	1	3	2	0.762	1	
CB	3	78	2	1	4	2	0.752	1	
CB	3	79	2	1	5	2	1.170	1	
CB	3	80	2	1	6	2	1.691	1	
CB	3	81	2	2	3	2	1.250	1	
CB	3	82	2	2	4	2	1.017	1	
CB	3	83	2	2	5	1	2.338	1	
CB	3	84	2	2	6	1	1.786	1	
CB	3	85	2	3	4	2	1.075	1	
CB	3	86	2	3	5	2	0.811	1	
CB	3	87	2	3	6	1	1.082	1	
CB	3	88	2	4	5	1	1.274	1	
CB	3	89	2	4	6	1	0.890	1	
CB	3	90	2	5	6	1	0.897	1	
CB	3	91	3	1	2	2	1.346	1	
CB	3	92	3	1	3	2	1.889	1	
CB	3	93	3	1	4	1	1.234	1	
CB	3	94	3	1	5	2	0.986	1	
CB	3	95	3	1	6	2	2.497	1	
CB	3	96	3	2	3	2	1.265	1	
CB	3	97	3	2	4	1	1.497	1	
CB	3	98	3	2	5	2	1.666	1	
CB	3	99	3	2	6	1	0.970	1	
CB	3	100	3	3	4	2	2.353	1	
CB	3	101	3	3	5	2	1.218	1	
CB	3	102	3	3	6	2	1.538	1	
CB	3	103	3	4	5	1	1.354	1	
CB	3	104	3	4	6	1	2.065	1	
CB	3	105	3	5	6	1	1.537	1	
CB	3	106	4	1	2	2	1.105	1	
CB	3	107	4	1	3	2	1.082	1	
CB	3	108	4	1	4	2	1.513	1	
CB	3	109	4	1	5	2	0.818	1	
CB	3	110	4	1	6	1	1.282	1	
CB	3	111	4	2	3	1	0.818	1	
CB	3	112	4	2	4	2	1.650	1	
CB	3	113	4	2	5	2	0.930	1	
CB	3	114	4	2	6	1	1.736	1	
CB	3	115	4	3	4	2	1.330	1	
CB	3	116	4	3	5	2	1.043	1	
CB	3	117	4	3	6	1	1.074	1	
CB	3	118	4	4	5	1	0.921	1	
CB	3	119	4	4	6	1	2.808	1	
CB	3	120	4	5	6	2	1.546	1	
CY	4	1	1	1	2	2	2.014	1	
CY	4	2	1	1	3	2	0.919	1	
CY	4	3	1	1	4	2	1.156	1	
CY	4	4	1	1	5	2	1.237	1	
CY	4	5	1	1	6	1	1.117	1	
CY	4	6	1	2	3	2	1.005	1	
CY	4	7	1	2	4	1	0.956	1	
CY	4	8	1	2	5	1	1.749	1	
CY	4	9	1	2	6	1	0.862	1	
CY	4	10	1	3	4	2	1.316	1	
CY	4	11	1	3	5	1	0.837	1	
CY	4	12	1	3	6	1	1.294	1	
CY	4	13	1	4	5	1	3.198	1	
CY	4	14	1	4	6	1	1.277	1	
CY	4	15	1	5	6	1	1.309	1	
CY	4	16	2	1	2	1	1.035	1	
CY	4	17	2	1	3	2	1.228	1	
CY	4	18	2	1	4	2	1.125	1	
CY	4	19	2	1	5	2	1.085	1	
CY	4	20	2	1	6	1	2.428	1	
CY	4	21	2	2	3	1	1.259	1	
CY	4	22	2	2	4	2	0.826	1	
CY	4	23	2	2	5	2	1.093	1	
CY	4	24	2	2	6	1	0.797	1	
CY	4	25	2	3	4	2	1.145	1	
CY	4	26	2	3	5	1	1.164	1	
CY	4	27	2	3	6	2	0.822	1	
CY	4	28	2	4	5	2	2.726	1	
CY	4	29	2	4	6	1	0.965	1	
CY	4	30	2	5	6	2	1.534	1	
CY	4	31	3	1	2	2	2.526	1	
CY	4	32	3	1	3	2	1.670	1	
CY	4	33	3	1	4	2	1.101	1	
CY	4	34	3	1	5	1	0.766	1	
CY	4	35	3	1	6	1	1.964	1	
CY	4	36	3	2	3	2	1.078	1	
CY	4	37	3	2	4	1	1.405	1	
CY	4	38	3	2	5	1	1.061	1	
CY	4	39	3	2	6	1	1.070	1	
CY	4	40	3	3	4	1	1.469	1	
CY	4	41	3	3	5	1	3.069	1	
CY	4	42	3	3	6	1	0.765	1	
CY	4	43	3	4	5	1	0.955	1	
CY	4	44	3	4	6	1	0.773	1	
CY	4	45	3	5	6	1	1.748	1	
CY	4	46	4	1	2	1	0.861	1	
CY	4	47	4	1	3	2	1.045	1	
CY	4	48	4	1	4	1	1.390	1	
CY	4	49	4	1	5	2	0.941	1	
CY	4	50	4	1	6	2	0.958	1	
CY	4	51	4	2	3	2	1.412	1	
CY	4	52	4	2	4	2	1.493	1	
CY	4	53	4	2	5	1	1.174	1	
CY	4	54	4	2	6	2	0.820	1	
CY	4	55	4	3	4	2	1.853	1	
CY	4	56	4	3	5	1	1.916	1	
CY	4	57	4	3	6	1	0.966	1	
CY	4	58	4	4	5	1	3.734	1	
CY	4	59	4	4	6	1	1.270	1	
CY	4	60	4	5	6	1	1.541	1	
CB	4	61	1	1	2	2	1.414	1	
CB	4	62	1	1	3	2	0.910	1	
CB	4	63	1	1	4	2	0.909	1	
CB	4	64	1	1	5	2	0.892	1	
CB	4	65	1	1	6	2	0.990	1	
CB	4	66	1	2	3	2	1.190	1	
CB	4	67	1	2	4	2	1.268	1	
CB	4	68	1	2	5	1	1.085	1	
CB	4	69	1	2	6	1	2.446	1	
CB	4	70	1	3	4	2	2.108	1	
CB	4	71	1	3	5	2	0.860	1	
CB	4	72	1	3	6	1	1.606	1	
CB	4	73	1	4	5	1	1.173	1	
CB	4	74	1	4	6	2	2.341	1	
CB	4	75	1	5	6	1	1.565	1	
CB	4	76	2	1	2	2	1.253	1	
CB	4	77	2	1	3	2	0.811	1	
CB	4	78	2	1	4	2	0.674	1	
CB	4	79	2	1	5	2	1.101	1	
CB	4	80	2	1	6	1	1.012	1	
CB	4	81	2	2	3	2	1.285	1	
CB	4	82	2	2	4	1	1.021	1	
CB	4	83	2	2	5	1	0.700	1	
CB	4	84	2	2	6	1	3.004	1	
CB	4	85	2	3	4	2	0.934	1	
CB	4	86	2	3	5	2	1.350	1	
CB	4	87	2	3	6	1	2.024	1	
CB	4	88	2	4	5	2	1.868	1	
CB	4	89	2	4	6	1	1.255	1	
CB	4	90	2	5	6	1	2.188	1	
CB	4	91	3	1	2	1	2.595	1	
CB	4	92	3	1	3	2	1.292	1	
CB	4	93	3	1	4	2	1.470	1	
CB	4	94	3	1	5	2	3.549	1	
CB	4	95	3	1	6	2	0.907	1	
CB	4	96	3	2	3	2	1.556	1	
CB	4	97	3	2	4	1	1.781	1	
CB	4	98	3	2	5	2	2.150	1	
CB	4	99	3	2	6	2	1.757	1	
CB	4	100	3	3	4	1	1.101	1	
CB	4	101	3	3	5	2	1.341	1	
CB	4	102	3	3	6	1	1.484	1	
CB	4	103	3	4	5	1	1.206	1	
CB	4	104	3	4	6	2	1.213	1	
CB	4	105	3	5	6	2	1.405	1	
CB	4	106	4	1	2	2	1.067	1	
CB	4	107	4	1	3	2	0.748	1	
CB	4	108	4	1	4	2	1.332	1	
CB	4	109	4	1	5	2	0.814	1	
CB	4	110	4	1	6	2	0.756	1	
CB	4	111	4	2	3	2	1.422	1	
CB	4	112	4	2	4	2	0.869	1	
CB	4	113	4	2	5	1	1.733	1	
CB	4	114	4	2	6	2	0.963	1	
CB	4	115	4	3	4	2	0.821	1	
CB	4	116	4	3	5	2	0.851	1	
CB	4	117	4	3	6	1	1.029	1	
CB	4	118	4	4	5	1	1.245	1	
CB	4	119	4	4	6	1	1.038	1	
CB	4	120	4	5	6	1	1.269	1	
CY	5	1	1	1	2	2	1.200	1	
CY	5	2	1	1	3	2	1.406	1	
CY	5	3	1	1	4	2	1.135	1	
CY	5	4	1	1	5	2	2.223	1	
CY	5	5	1	1	6	1	0.983	1	
CY	5	6	1	2	3	2	0.943	1	
CY	5	7	1	2	4	1	0.829	1	
CY	5	8	1	2	5	1	0.814	1	
CY	5	9	1	2	6	1	0.696	1	
CY	5	10	1	3	4	1	1.591	1	
CY	5	11	1	3	5	1	0.758	1	
CY	5	12	1	3	6	1	1.047	1	
CY	5	13	1	4	5	1	1.880	1	
CY	5	14	1	4	6	1	0.679	1	
CY	5	15	1	5	6	1	1.270	1	
CY	5	16	2	1	2	2	0.775	1	
CY	5	17	2	1	3	2	1.183	1	
CY	5	18	2	1	4	2	0.968	1	
CY	5	19	2	1	5	2	1.854	1	
CY	5	20	2	1	6	2	1.512	1	
CY	5	21	2	2	3	2	0.879	1	
CY	5	22	2	2	4	2	1.543	1	
CY	5	23	2	2	5	2	1.304	1	
CY	5	24	2	2	6	1	2.054	1	
CY	5	25	2	3	4	2	0.974	1	
CY	5	26	2	3	5	1	0.967	1	
CY	5	27	2	3	6	2	1.047	1	
CY	5	28	2	4	5	1	1.616	1	
CY	5	29	2	4	6	1	1.495	1	
CY	5	30	2	5	6	1	2.056	1	
CY	5	31	3	1	2	2	1.704	1	
CY	5	32	3	1	3	2	1.039	1	
CY	5	33	3	1	4	2	1.616	1	
CY	5	34	3	1	5	1	1.008	1	
CY	5	35	3	1	6	1	2.310	1	
CY	5	36	3	2	3	2	1.046	1	
CY	5	37	3	2	4	2	1.360	1	
CY	5	38	3	2	5	1	1.310	1	
CY	5	39	3	2	6	2	1.008	1	
CY	5	40	3	3	4	2	0.848	1	
CY	5	41	3	3	5	1	1.119	1	
CY	5	42	3	3	6	1	0.807	1	
CY	5	43	3	4	5	1	1.279	1	
CY	5	44	3	4	6	1	1.424	1	
CY	5	45	3	5	6	1	1.463	1	
CY	5	46	4	1	2	2	1.223	1	
CY	5	47	4	1	3	2	1.328	1	
CY	5	48	4	1	4	1	1.917	1	
CY	5	49	4	1	5	2	1.071	1	
CY	5	50	4	1	6	2	0.966	1	
CY	5	51	4	2	3	2	1.286	1	
CY	5	52	4	2	4	1	1.031	1	
CY	5	53	4	2	5	1	2.447	1	
CY	5	54	4	2	6	2	0.847	1	
CY	5	55	4	3	4	2	1.471	1	
CY	5	56	4	3	5	1	1.656	1	
CY	5	57	4	3	6	1	1.703	1	
CY	5	58	4	4	5	1	1.215	1	
CY	5	59	4	4	6	1	0.920	1	
CY	5	60	4	5	6	1	1.575	1	
CB	5	61	1	1	2	2	1.511	1	
CB	5	62	1	1	3	2	0.871	1	
CB	5	63	1	1	4	1	1.199	1	
CB	5	64	1	1	5	1	0.917	1	
CB	5	65	1	1	6	2	2.614	1	
CB	5	66	1	2	3	2	1.191	1	
CB	5	67	1	2	4	2	0.831	1	
CB	5	68	1	2	5	2	1.597	1	
CB	5	69	1	2	6	1	2.662	1	
CB	5	70	1	3	4	2	1.286	1	
CB	5	71	1	3	5	2	2.295	1	
CB	5	72	1	3	6	1	0.838	1	
CB	5	73	1	4	5	2	1.343	1	
CB	5	74	1	4	6	1	1.231	1	
CB	5	75	1	5	6	1	1.560	1	
CB	5	76	2	1	2	2	1.831	1	
CB	5	77	2	1	3	2	0.847	1	
CB	5	78	2	1	4	2	0.918	1	
CB	5	79	2	1	5	2	1.735	1	
CB	5	80	2	1	6	1	0.959	1	
CB	5	81	2	2	3	1	1.231	1	
CB	5	82	2	2	4	2	0.998	1	
CB	5	83	2	2	5	1	0.942	1	
CB	5	84	2	2	6	1	2.432	1	
CB	5	85	2	3	4	1	1.375	1	
CB	5	86	2	3	5	2	0.694	1	
CB	5	87	2	3	6	1	0.991	1	
CB	5	88	2	4	5	1	1.448	1	
CB	5	89	2	4	6	1	1.375	1	
CB	5	90	2	5	6	1	1.198	1	
CB	5	91	3	1	2	1	1.246	1	
CB	5	92	3	1	3	2	1.351	1	
CB	5	93	3	1	4	2	1.343	1	
CB	5	94	3	1	5	2	1.223	1	
CB	5	95	3	1	6	2	1.191	1	
CB	5	96	3	2	3	2	1.407	1	
CB	5	97	3	2	4	2	1.374	1	
CB	5	98	3	2	5	2	1.607	1	
CB	5	99	3	2	6	1	0.824	1	
CB	5	100	3	3	4	1	1.215	1	
CB	5	101	3	3	5	2	1.309	1	
CB	5	102	3	3	6	1	1.013	1	
CB	5	103	3	4	5	2	1.016	1	
CB	5	104	3	4	6	1	1.855	1	
CB	5	105	3	5	6	2	2.655	1	
CB	5	106	4	1	2	2	1.446	1	
CB	5	107	4	1	3	2	0.662	1	
CB	5	108	4	1	4	2	0.903	1	
CB	5	109	4	1	5	2	1.727	1	
CB	5	110	4	1	6	1	1.581	1	
CB	5	111	4	2	3	1	0.975	1	
CB	5	112	4	2	4	2	1.031	1	
CB	5	113	4	2	5	2	0.831	1	
CB	5	114	4	2	6	2	0.751	1	
CB	5	115	4	3	4	2	1.015	1	
CB	5	116	4	3	5	1	1.406	1	
